kp,ki,setpoint,ewma
16,16,1,2
16,16,11,2
16,16,21,2
16,16,31,2
16,16,41,2
16,16,51,2
16,16,61,2
16,16,71,2
16,16,81,2
16,16,91,2
16,16,101,2
16,16,1,6
16,16,11,6
16,16,21,6
16,16,31,6
16,16,41,6
16,16,51,6
16,16,61,6
16,16,71,6
16,16,81,6
16,16,91,6
16,16,101,6
16,16,1,10
16,16,11,10
16,16,21,10
16,16,31,10
16,16,41,10
16,16,51,10
16,16,61,10
16,16,71,10
16,16,81,10
16,16,91,10
16,16,101,10
16,16,1,15
16,16,11,15
16,16,21,15
16,16,31,15
16,16,41,15
16,16,51,15
16,16,61,15
16,16,71,15
16,16,81,15
16,16,91,15
16,16,101,15
